Time,Altitude(m),Lat(°),Lon(°),Timestamp,Wind Bearing(°),Wind Speed(m/s),Pressure(Pa),Temperature(°C), Humidity(%RH)Home Latitude(°),Home Longitude(°),Home Altitude(m),Distance From Home(m),Bearing From Home(°)
15-03-2014 16:03:49.644,49.820,-2.9145989,104.6852609,551041200,93.013,0.000,100.728,28.000,58.100,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:03:54.653,49.740,-2.9145989,104.6852609,551046200,0.000,0.000,100.729,28.000,57.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:03:59.660,49.740,-2.9145989,104.6852609,551051200,0.000,0.000,100.729,28.000,57.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:04:04.666,49.650,-2.9145989,104.6852609,551056200,0.000,0.000,100.730,28.000,57.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:04:09.672,49.650,-2.9145989,104.6852609,551061200,0.000,0.000,100.730,28.100,56.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:04:14.678,49.570,-2.9145989,104.6852609,551066200,0.000,0.000,100.731,28.100,56.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:04:19.685,49.490,-2.9145989,104.6852609,551071200,0.000,0.000,100.732,28.100,56.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:04:24.691,49.490,-2.9145989,104.6852609,551076200,0.000,0.000,100.732,28.100,56.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:04:29.698,49.490,-2.9145989,104.6852609,551081200,0.000,0.000,100.732,28.100,56.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:04:34.705,49.400,-2.9145989,104.6852609,551086200,0.000,0.000,100.732,28.100,56.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:04:39.711,49.320,-2.9145989,104.6852609,551091200,0.000,0.000,100.733,28.100,56.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:04:44.719,49.320,-2.9145989,104.6852609,551096200,0.000,0.000,100.734,28.100,56.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:04:49.725,49.320,-2.9145989,104.6852609,551101200,0.000,0.000,100.734,28.100,56.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:04:54.732,49.230,-2.9145989,104.6852609,551106200,0.000,0.000,100.734,28.100,57.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:04:59.738,49.230,-2.9145989,104.6852609,551111400,0.000,0.000,100.735,28.200,56.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:05:04.745,49.230,-2.9145989,104.6852609,551116400,0.000,0.000,100.735,28.100,56.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:05:09.802,49.230,-2.9145989,104.6852609,551121400,0.000,0.000,100.735,28.100,56.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:05:14.810,49.230,-2.9145989,104.6852609,551126400,0.000,0.000,100.735,28.100,55.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:05:19.816,49.230,-2.9145989,104.6852609,551131400,0.000,0.000,100.735,28.100,55.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:05:24.824,49.150,-2.9145989,104.6852609,551136400,0.000,0.000,100.736,28.200,55.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:05:29.832,49.150,-2.9145989,104.6852609,551141400,0.000,0.000,100.736,28.200,56.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:05:34.839,49.070,-2.9145989,104.6852609,551146400,0.000,0.000,100.736,28.200,57.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:05:39.845,48.980,-2.9145989,104.6852609,551151400,0.000,0.000,100.737,28.200,57.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:05:44.853,48.980,-2.9145989,104.6852609,551156400,0.000,0.000,100.738,28.300,57.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:05:49.859,48.900,-2.9145989,104.6852609,551161400,0.000,0.000,100.739,28.300,57.100,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:05:54.868,48.900,-2.9145989,104.6852609,551166400,0.000,0.000,100.739,28.200,56.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:05:59.875,48.900,-2.9145989,104.6852609,551171400,0.000,0.000,100.739,28.200,56.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:06:04.932,48.820,-2.9145989,104.6852609,551176400,0.000,0.000,100.739,28.300,56.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:06:09.938,48.820,-2.9145989,104.6852609,551181400,0.000,0.000,100.740,28.300,56.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:06:14.994,48.820,-2.9145989,104.6852609,551186400,0.000,0.000,100.740,28.300,56.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:06:20.000,48.730,-2.9145989,104.6852609,551191600,0.000,0.000,100.740,28.300,56.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:06:25.007,48.820,-2.9145989,104.6852609,551196600,0.000,0.000,100.741,28.300,56.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:06:30.064,48.820,-2.9145989,104.6852609,551201600,0.000,0.000,100.740,28.300,56.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:06:35.070,48.820,-2.9145989,104.6852609,551206600,0.000,0.000,100.740,28.300,56.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:06:40.077,48.820,-2.9145989,104.6852609,551211600,0.000,0.000,100.740,28.300,55.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:06:45.134,48.730,-2.9145989,104.6852609,551216600,0.000,0.000,100.741,28.300,55.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:06:50.139,48.730,-2.9145989,104.6852609,551221600,0.000,0.000,100.741,28.300,55.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:06:55.147,48.650,-2.9145989,104.6852609,551226600,0.000,0.000,100.741,28.300,56.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:07:00.155,48.650,-2.9145989,104.6852609,551231600,0.000,0.000,100.742,28.300,55.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:07:05.210,48.570,-2.9145989,104.6852609,551236800,0.000,0.000,100.742,28.300,55.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:07:10.218,48.570,-2.9145989,104.6852609,551241800,0.000,0.000,100.743,28.300,55.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:07:15.226,48.480,-2.9145989,104.6852609,551246800,0.000,0.000,100.744,28.400,55.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:07:20.234,48.400,-2.9145989,104.6852609,551251800,0.000,0.000,100.744,28.400,56.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:07:25.240,48.400,-2.9145989,104.6852609,551256800,0.000,0.000,100.745,28.400,56.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:07:30.248,48.320,-2.9145989,104.6852609,551261800,0.000,0.000,100.745,28.400,56.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:07:35.255,48.320,-2.9145989,104.6852609,551266800,0.000,0.000,100.746,28.400,56.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:07:40.263,48.230,-2.9145989,104.6852609,551271800,0.000,0.000,100.747,28.400,56.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:07:45.269,48.150,-2.9145989,104.6852609,551276800,0.000,0.000,100.748,28.400,56.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:07:50.327,48.150,-2.9145989,104.6852609,551281800,0.000,0.000,100.748,28.400,56.100,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:07:55.334,48.150,-2.9145989,104.6852609,551286800,0.000,0.000,100.748,28.400,55.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:08:00.341,48.150,-2.9145989,104.6852609,551291800,0.000,0.000,100.748,28.300,55.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:08:05.349,48.150,-2.9145989,104.6852609,551296800,0.000,0.000,100.748,28.300,56.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:08:10.355,48.230,-2.9145989,104.6852609,551301800,0.000,0.000,100.747,28.300,55.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 16:08:15.363,48.230,-2.9145989,104.6852609,551306800,0.000,0.000,100.747,28.300,55.200,-2.134,103.155,22.000,190.881,117.066
