Time,Altitude(m),Lat(°),Lon(°),Timestamp,Wind Bearing(°),Wind Speed(m/s),Pressure(Pa),Temperature(°C), Humidity(%RH)Home Latitude(°),Home Longitude(°),Home Altitude(m),Distance From Home(m),Bearing From Home(°)
15-03-2014 15:50:01.411,50.910,-2.9145989,104.6852609,550217000,93.013,0.000,0.101,28.000,0.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:02.421,50.910,-2.9145989,104.6852609,550218000,0.000,0.000,0.101,27.900,57.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:03.482,50.910,-2.9145989,104.6852609,550219000,0.000,0.000,0.101,28.000,58.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:04.541,50.990,-2.9145989,104.6852609,550220000,0.000,0.000,0.101,28.000,58.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:05.601,50.990,-2.9145989,104.6852609,550221200,0.000,0.000,0.101,28.000,58.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:06.607,50.990,-2.9145989,104.6852609,550222200,0.000,0.000,0.101,28.000,58.100,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:07.663,51.080,-2.9145989,104.6852609,550223200,0.000,0.000,0.101,28.000,58.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:08.719,51.080,-2.9145989,104.6852609,550224200,0.000,0.000,0.101,28.000,58.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:09.726,51.160,-2.9145989,104.6852609,550225400,0.000,0.000,0.101,28.000,58.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:10.782,51.160,-2.9145989,104.6852609,550226200,0.000,0.000,0.101,28.000,58.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:11.838,51.160,-2.9145989,104.6852609,550227400,0.000,0.000,0.101,28.000,58.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:12.845,51.160,-2.9145989,104.6852609,550228400,0.000,0.000,0.101,28.000,58.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:13.901,51.160,-2.9145989,104.6852609,550229400,0.000,0.000,0.101,28.000,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:14.963,51.160,-2.9145989,104.6852609,550230400,0.000,0.000,0.101,28.000,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:16.024,51.160,-2.9145989,104.6852609,550231600,0.000,0.000,0.101,28.000,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:17.082,51.080,-2.9145989,104.6852609,550232600,0.000,0.000,0.101,28.000,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:18.089,50.990,-2.9145989,104.6852609,550233600,0.000,0.000,0.101,28.000,58.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:19.096,50.990,-2.9145989,104.6852609,550234600,0.000,0.000,0.101,28.000,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:20.154,50.990,-2.9145989,104.6852609,550235600,0.000,0.000,0.101,28.000,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:21.161,50.990,-2.9145989,104.6852609,550236800,0.000,0.000,0.101,28.000,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:22.218,50.990,-2.9145989,104.6852609,550237800,0.000,0.000,0.101,28.000,58.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:23.275,50.990,-2.9145989,104.6852609,550238800,0.000,0.000,0.101,28.000,58.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:24.282,50.910,-2.9145989,104.6852609,550239800,0.000,0.000,0.101,28.000,59.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:25.293,50.830,-2.9145989,104.6852609,550240800,0.000,0.000,0.101,28.000,59.100,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:26.303,50.910,-2.9145989,104.6852609,550241800,0.000,0.000,0.101,28.000,59.100,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:27.361,50.990,-2.9145989,104.6852609,550242800,0.000,0.000,0.101,28.000,59.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:28.367,50.990,-2.9145989,104.6852609,550244000,0.000,0.000,0.101,28.000,59.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:29.423,50.990,-2.9145989,104.6852609,550245000,0.000,0.000,0.101,28.000,59.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:30.480,50.990,-2.9145989,104.6852609,550246000,0.000,0.000,0.101,28.100,58.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:31.487,50.990,-2.9145989,104.6852609,550247000,0.000,0.000,0.101,28.000,58.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:32.543,50.990,-2.9145989,104.6852609,550248000,0.000,0.000,0.101,28.100,58.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:33.599,50.990,-2.9145989,104.6852609,550249200,0.000,0.000,0.101,28.100,58.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:34.610,50.990,-2.9145989,104.6852609,550250200,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:35.622,51.080,-2.9145989,104.6852609,550251200,0.000,0.000,0.101,28.100,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:36.680,51.080,-2.9145989,104.6852609,550252200,0.000,0.000,0.101,28.100,58.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:37.736,51.080,-2.9145989,104.6852609,550253200,0.000,0.000,0.101,28.100,58.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:38.743,50.990,-2.9145989,104.6852609,550254200,0.000,0.000,0.101,28.000,58.100,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:39.800,51.080,-2.9145989,104.6852609,550255200,0.000,0.000,0.101,28.000,58.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:40.857,51.080,-2.9145989,104.6852609,550256400,0.000,0.000,0.101,28.000,58.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:41.865,50.990,-2.9145989,104.6852609,550257400,0.000,0.000,0.101,28.000,58.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:42.870,51.080,-2.9145989,104.6852609,550258400,0.000,0.000,0.101,28.000,58.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:43.929,51.080,-2.9145989,104.6852609,550259400,0.000,0.000,0.101,28.100,58.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:44.940,51.080,-2.9145989,104.6852609,550260600,0.000,0.000,0.101,28.100,58.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:45.952,51.080,-2.9145989,104.6852609,550261600,0.000,0.000,0.101,28.100,58.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:46.959,51.080,-2.9145989,104.6852609,550262400,0.000,0.000,0.101,28.100,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:48.015,51.080,-2.9145989,104.6852609,550263600,0.000,0.000,0.101,28.100,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:49.021,51.080,-2.9145989,104.6852609,550264600,0.000,0.000,0.101,28.100,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:50.078,51.160,-2.9145989,104.6852609,550265600,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:51.137,51.160,-2.9145989,104.6852609,550266600,0.000,0.000,0.101,28.100,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:52.146,51.160,-2.9145989,104.6852609,550267800,0.000,0.000,0.101,28.100,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:53.153,51.160,-2.9145989,104.6852609,550268800,0.000,0.000,0.101,28.100,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:54.212,51.160,-2.9145989,104.6852609,550269800,0.000,0.000,0.101,28.100,58.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:55.274,51.160,-2.9145989,104.6852609,550270800,0.000,0.000,0.101,28.100,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:56.336,51.160,-2.9145989,104.6852609,550271800,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:57.392,51.080,-2.9145989,104.6852609,550273000,0.000,0.000,0.101,28.100,58.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:58.399,51.160,-2.9145989,104.6852609,550273800,0.000,0.000,0.101,28.100,58.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:50:59.456,51.160,-2.9145989,104.6852609,550275000,0.000,0.000,0.101,28.100,58.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:00.513,51.160,-2.9145989,104.6852609,550276000,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:01.521,51.160,-2.9145989,104.6852609,550277000,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:02.528,51.160,-2.9145989,104.6852609,550278000,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:03.585,51.240,-2.9145989,104.6852609,550279000,0.000,0.000,0.101,28.100,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:04.592,51.160,-2.9145989,104.6852609,550280200,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:05.604,51.240,-2.9145989,104.6852609,550281200,0.000,0.000,0.101,28.100,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:06.617,51.240,-2.9145989,104.6852609,550282200,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:07.674,51.330,-2.9145989,104.6852609,550283200,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:08.732,51.330,-2.9145989,104.6852609,550284200,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:09.740,51.330,-2.9145989,104.6852609,550285400,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:10.797,51.330,-2.9145989,104.6852609,550286200,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:11.854,51.330,-2.9145989,104.6852609,550287400,0.000,0.000,0.101,28.100,58.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:12.862,51.330,-2.9145989,104.6852609,550288400,0.000,0.000,0.101,28.100,58.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:13.868,51.330,-2.9145989,104.6852609,550289400,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:14.926,51.330,-2.9145989,104.6852609,550290400,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:15.939,51.330,-2.9145989,104.6852609,550291400,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:16.952,51.240,-2.9145989,104.6852609,550292600,0.000,0.000,0.101,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:17.958,51.160,-2.9145989,104.6852609,550293600,0.000,0.000,0.101,28.100,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:19.016,51.160,-2.9145989,104.6852609,550294600,0.000,0.000,0.101,28.200,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:20.074,51.160,-2.9145989,104.6852609,550295600,0.000,0.000,0.101,28.200,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:21.082,51.160,-2.9145989,104.6852609,550296600,0.000,0.000,0.101,28.100,58.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:22.089,51.160,-2.9145989,104.6852609,550297600,0.000,0.000,0.101,28.200,58.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:23.147,51.080,-2.9145989,104.6852609,550298600,0.000,0.000,0.101,28.200,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:24.154,51.160,-2.9145989,104.6852609,550299600,0.000,0.000,0.101,28.200,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:25.168,51.080,-2.9145989,104.6852609,550300800,0.000,0.000,0.101,28.200,58.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:26.182,51.080,-2.9145989,104.6852609,550301800,0.000,0.000,0.101,28.200,58.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:27.241,51.080,-2.9145989,104.6852609,550302800,0.000,0.000,0.101,28.200,58.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:28.298,51.160,-2.9145989,104.6852609,550303800,0.000,0.000,0.101,28.200,58.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:29.355,51.160,-2.9145989,104.6852609,550304800,0.000,0.000,0.101,28.200,58.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:30.363,51.160,-2.9145989,104.6852609,550306000,0.000,0.000,0.101,28.200,58.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:31.371,51.160,-2.9145989,104.6852609,550306800,0.000,0.000,0.101,28.200,58.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:32.429,51.240,-2.9145989,104.6852609,550307800,0.000,0.000,0.101,28.200,58.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:51:33.436,51.240,-2.9145989,104.6852609,550309000,0.000,0.000,0.101,28.200,58.700,-2.134,103.155,22.000,190.881,117.066
