Time,Altitude(m),Lat(°),Lon(°),Timestamp,Wind Bearing(°),Wind Speed(m/s),Pressure(Pa),Temperature(°C), Humidity(%RH)Home Latitude(°),Home Longitude(°),Home Altitude(m),Distance From Home(m),Bearing From Home(°)
15-03-2014 15:55:35.274,51.240,-2.9145989,104.6852609,550546800,93.013,0.000,100.711,27.900,57.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:55:40.285,51.240,-2.9145989,104.6852609,550551800,0.000,0.000,100.711,27.900,59.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:55:45.296,51.160,-2.9145989,104.6852609,550556800,0.000,0.000,100.711,27.900,58.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:55:50.304,51.160,-2.9145989,104.6852609,550561800,0.000,0.000,100.712,27.900,58.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:55:55.310,51.160,-2.9145989,104.6852609,550566800,0.000,0.000,100.712,27.900,58.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:56:00.365,51.160,-2.9145989,104.6852609,550572000,0.000,0.000,100.712,27.900,59.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:56:05.372,51.160,-2.9145989,104.6852609,550577000,0.000,0.000,100.712,27.900,58.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:56:10.379,51.160,-2.9145989,104.6852609,550582000,0.000,0.000,100.712,27.900,57.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:56:15.434,51.160,-2.9145989,104.6852609,550587000,0.000,0.000,100.712,27.900,57.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:56:20.441,51.160,-2.9145989,104.6852609,550592000,0.000,0.000,100.712,27.800,56.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:56:25.498,51.080,-2.9145989,104.6852609,550597000,0.000,0.000,100.713,27.800,56.700,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:56:30.505,50.990,-2.9145989,104.6852609,550602200,0.000,0.000,100.713,27.800,56.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:56:35.512,50.990,-2.9145989,104.6852609,550607200,0.000,0.000,100.714,27.800,56.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:56:40.519,50.990,-2.9145989,104.6852609,550612200,0.000,0.000,100.714,27.800,56.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:56:45.527,50.990,-2.9145989,104.6852609,550617000,0.000,0.000,100.714,27.800,56.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:56:50.534,50.910,-2.9145989,104.6852609,550622000,0.000,0.000,100.714,27.800,56.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:56:55.541,50.910,-2.9145989,104.6852609,550627000,0.000,0.000,100.715,27.900,56.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:57:00.598,50.830,-2.9145989,104.6852609,550632000,0.000,0.000,100.715,27.900,61.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:57:05.604,50.830,-2.9145989,104.6852609,550637200,0.000,0.000,100.716,27.900,61.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:57:10.611,50.830,-2.9145989,104.6852609,550642200,0.000,0.000,100.716,28.000,60.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:57:15.618,50.830,-2.9145989,104.6852609,550647200,0.000,0.000,100.716,28.000,60.100,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:57:20.676,50.910,-2.9145989,104.6852609,550652200,0.000,0.000,100.715,28.100,59.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:57:25.682,50.910,-2.9145989,104.6852609,550657200,0.000,0.000,100.715,28.100,59.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:57:30.691,50.910,-2.9145989,104.6852609,550662200,0.000,0.000,100.715,28.100,59.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:57:35.699,50.910,-2.9145989,104.6852609,550667200,0.000,0.000,100.715,28.100,59.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:57:40.705,50.910,-2.9145989,104.6852609,550672200,0.000,0.000,100.715,28.100,59.100,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:57:45.717,50.910,-2.9145989,104.6852609,550677200,0.000,0.000,100.715,28.100,59.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:57:50.720,50.910,-2.9145989,104.6852609,550682200,0.000,0.000,100.715,28.100,59.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:57:55.775,50.830,-2.9145989,104.6852609,550687400,0.000,0.000,100.716,28.100,59.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:58:00.828,50.830,-2.9145989,104.6852609,550692400,0.000,0.000,100.716,28.100,59.000,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:58:05.881,50.740,-2.9145989,104.6852609,550697400,0.000,0.000,100.717,28.100,58.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:58:10.885,50.740,-2.9145989,104.6852609,550702400,0.000,0.000,100.717,28.200,58.100,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:58:15.888,50.740,-2.9145989,104.6852609,550707400,0.000,0.000,100.717,28.200,57.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:58:20.891,50.740,-2.9145989,104.6852609,550712400,0.000,0.000,100.717,28.200,57.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:58:25.944,50.660,-2.9145989,104.6852609,550717400,0.000,0.000,100.718,28.200,58.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:58:30.998,50.660,-2.9145989,104.6852609,550722600,0.000,0.000,100.718,28.200,58.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:58:36.004,50.660,-2.9145989,104.6852609,550727600,0.000,0.000,100.718,28.100,58.200,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:58:41.010,50.660,-2.9145989,104.6852609,550732600,0.000,0.000,100.718,28.100,57.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:58:46.014,50.660,-2.9145989,104.6852609,550737600,0.000,0.000,100.718,28.100,57.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:58:51.021,50.660,-2.9145989,104.6852609,550742600,0.000,0.000,100.718,28.100,57.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:58:56.026,50.660,-2.9145989,104.6852609,550747600,0.000,0.000,100.718,28.100,57.600,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:59:01.030,50.660,-2.9145989,104.6852609,550752600,0.000,0.000,100.717,28.100,57.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:59:06.086,50.740,-2.9145989,104.6852609,550757600,0.000,0.000,100.717,28.100,57.400,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:59:11.141,50.740,-2.9145989,104.6852609,550762600,0.000,0.000,100.717,28.100,56.800,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:59:16.195,50.740,-2.9145989,104.6852609,550767800,0.000,0.000,100.717,28.100,56.500,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:59:21.202,50.740,-2.9145989,104.6852609,550772800,0.000,0.000,100.717,28.100,56.300,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:59:26.257,50.740,-2.9145989,104.6852609,550777800,0.000,0.000,100.717,28.100,56.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:59:31.267,50.740,-2.9145989,104.6852609,550782800,0.000,0.000,100.717,28.100,56.900,-2.134,103.155,22.000,190.881,117.066
15-03-2014 15:59:36.276,50.740,-2.9145989,104.6852609,550787800,0.000,0.000,100.717,28.000,57.100,-2.134,103.155,22.000,190.881,117.066
